"","lsoa","hex","hex.id"
"118","E01004364",164,"ID164"
"119","E01004365",164,"ID164"
"120","E01004362",165,"ID165"
"121","E01004363",165,"ID165"
"122","E01004360",196,"ID196"
"123","E01004361",196,"ID196"
"124","E01002368",132,"ID132"
"125","E01002369",132,"ID132"
"126","E01004368",164,"ID164"
"127","E01000306",159,"ID159"
"128","E01000387",68,"ID68"
"129","E01000307",159,"ID159"
"130","E01000386",54,"ID54"
"131","E01000304",177,"ID177"
"132","E01000385",55,"ID55"
"133","E01000305",159,"ID159"
"134","E01000384",54,"ID54"
"135","E01000302",177,"ID177"
"136","E01000383",55,"ID55"
"137","E01000303",177,"ID177"
"138","E01000382",68,"ID68"
"139","E01000300",177,"ID177"
"140","E01000381",68,"ID68"
"141","E01000301",177,"ID177"
"142","E01000308",140,"ID140"
"143","E01000389",83,"ID83"
"144","E01000309",159,"ID159"
"145","E01000388",82,"ID82"
"146","E01000266",192,"ID192"
"147","E01000267",192,"ID192"
"148","E01000265",193,"ID193"
"149","E01000262",177,"ID177"
"150","E01000263",176,"ID176"
"151","E01000260",177,"ID177"
"152","E01000261",176,"ID176"
"153","E01000268",192,"ID192"
"154","E01000269",192,"ID192"
"155","E01002256",152,"ID152"
"156","E01002257",151,"ID151"
"157","E01002254",151,"ID151"
"158","E01002255",151,"ID151"
"159","E01002252",152,"ID152"
"160","E01002253",170,"ID170"
"161","E01004256",112,"ID112"
"162","E01002250",149,"ID149"
"163","E01004257",112,"ID112"
"164","E01002251",149,"ID149"
"165","E01004254",111,"ID111"
"166","E01004255",111,"ID111"
"167","E01004252",112,"ID112"
"168","E01004253",112,"ID112"
"169","E01004250",112,"ID112"
"170","E01004251",111,"ID111"
"171","E01002258",170,"ID170"
"172","E01002259",170,"ID170"
"173","E01004258",112,"ID112"
"174","E01004259",128,"ID128"
"175","E01032584",109,"ID109"
"176","E01032583",93,"ID93"
"177","E01032582",93,"ID93"
"178","E01032581",167,"ID167"
"179","E01032580",148,"ID148"
"180","E01000556",141,"ID141"
"181","E01000557",140,"ID140"
"182","E01000554",140,"ID140"
"183","E01000555",140,"ID140"
"184","E01000552",123,"ID123"
"185","E01000553",141,"ID141"
"186","E01000550",124,"ID124"
"187","E01000551",123,"ID123"
"188","E01000558",141,"ID141"
"189","E01000559",141,"ID141"
"190","E01002506",86,"ID86"
"191","E01002587",71,"ID71"
"192","E01002507",86,"ID86"
"193","E01002586",71,"ID71"
"194","E01002504",102,"ID102"
"195","E01002585",71,"ID71"
"196","E01002505",103,"ID103"
"197","E01002584",71,"ID71"
"198","E01002502",103,"ID103"
"199","E01002583",71,"ID71"
"200","E01002503",103,"ID103"
"201","E01002582",89,"ID89"
"202","E01004506",60,"ID60"
"203","E01004587",76,"ID76"
"204","E01002581",89,"ID89"
"205","E01004507",60,"ID60"
"206","E01004586",76,"ID76"
"207","E01002501",103,"ID103"
"208","E01002580",89,"ID89"
"209","E01004504",60,"ID60"
"210","E01004585",76,"ID76"
"211","E01004505",60,"ID60"
"212","E01004584",76,"ID76"
"213","E01004502",60,"ID60"
"214","E01004583",76,"ID76"
"215","E01004503",60,"ID60"
"216","E01004582",92,"ID92"
"217","E01004500",60,"ID60"
"218","E01004581",76,"ID76"
"219","E01004501",60,"ID60"
"220","E01004580",76,"ID76"
"221","E01002508",103,"ID103"
"222","E01002589",71,"ID71"
"223","E01002509",118,"ID118"
"224","E01002588",71,"ID71"
"225","E01004508",61,"ID61"
"226","E01004589",62,"ID62"
"227","E01004509",61,"ID61"
"228","E01004588",76,"ID76"
"229","E01001976",180,"ID180"
"230","E01001977",180,"ID180"
"231","E01001974",179,"ID179"
"232","E01001975",179,"ID179"
"233","E01001972",179,"ID179"
"234","E01001973",178,"ID178"
"235","E01001970",179,"ID179"
"236","E01001971",179,"ID179"
"237","E01001978",180,"ID180"
"238","E01001979",180,"ID180"
"239","E01003926",77,"ID77"
"240","E01003927",110,"ID110"
"241","E01003924",77,"ID77"
"242","E01003925",78,"ID78"
"243","E01003922",78,"ID78"
"244","E01003923",93,"ID93"
"245","E01003920",78,"ID78"
"246","E01003921",78,"ID78"
"247","E01003929",93,"ID93"
"248","E01002466",137,"ID137"
"249","E01002467",136,"ID136"
"250","E01002464",136,"ID136"
"251","E01002465",136,"ID136"
"252","E01002462",136,"ID136"
"253","E01002463",118,"ID118"
"254","E01004466",164,"ID164"
"255","E01002460",136,"ID136"
"256","E01002461",135,"ID135"
"257","E01004464",164,"ID164"
"258","E01004465",164,"ID164"
"259","E01004462",181,"ID181"
"260","E01004463",181,"ID181"
"261","E01004460",181,"ID181"
"262","E01004461",163,"ID163"
"263","E01002468",137,"ID137"
"264","E01002469",137,"ID137"
"265","E01004468",165,"ID165"
"266","E01004469",182,"ID182"
"267","E01000406",99,"ID99"
"268","E01000486",139,"ID139"
"269","E01000407",99,"ID99"
"270","E01000485",158,"ID158"
"271","E01000404",99,"ID99"
"272","E01000484",158,"ID158"
"273","E01000405",99,"ID99"
"274","E01000483",140,"ID140"
"275","E01000402",99,"ID99"
"276","E01000482",139,"ID139"
"277","E01000403",99,"ID99"
"278","E01000481",140,"ID140"
"279","E01000400",82,"ID82"
"280","E01000480",139,"ID139"
"281","E01000401",82,"ID82"
"282","E01000489",123,"ID123"
"283","E01000408",99,"ID99"
"284","E01000488",123,"ID123"
"285","E01000409",82,"ID82"
"286","E01001826",163,"ID163"
"287","E01001827",163,"ID163"
"288","E01001824",163,"ID163"
"289","E01001825",163,"ID163"
"290","E01001822",145,"ID145"
"291","E01001823",163,"ID163"
"292","E01001820",110,"ID110"
"293","E01001821",127,"ID127"
"294","E01001828",163,"ID163"
"295","E01001829",144,"ID144"
"296","E01003897",58,"ID58"
"297","E01003816",59,"ID59"
"298","E01003896",58,"ID58"
"299","E01003817",45,"ID45"
"300","E01003895",58,"ID58"
"301","E01003814",44,"ID44"
"302","E01003894",58,"ID58"
"303","E01003815",44,"ID44"
"304","E01003893",73,"ID73"
"305","E01003812",44,"ID44"
"306","E01003892",58,"ID58"
"307","E01003813",44,"ID44"
"308","E01000766",27,"ID27"
"309","E01003891",58,"ID58"
"310","E01003810",44,"ID44"
"311","E01000767",27,"ID27"
"312","E01003890",58,"ID58"
"313","E01003811",44,"ID44"
"314","E01000764",40,"ID40"
"315","E01000765",27,"ID27"
"316","E01000762",40,"ID40"
"317","E01000763",40,"ID40"
"318","E01000760",27,"ID27"
"319","E01000761",27,"ID27"
"320","E01003899",57,"ID57"
"321","E01003898",58,"ID58"
"322","E01003819",58,"ID58"
"323","E01000768",27,"ID27"
"324","E01000769",39,"ID39"
"325","E01002756",161,"ID161"
"326","E01002757",161,"ID161"
"327","E01002754",161,"ID161"
"328","E01002755",162,"ID162"
"329","E01002752",143,"ID143"
"330","E01002753",161,"ID161"
"331","E01004756",124,"ID124"
"332","E01004757",124,"ID124"
"333","E01002751",142,"ID142"
"334","E01004754",108,"ID108"
"335","E01004755",107,"ID107"
"336","E01004752",92,"ID92"
"337","E01004753",92,"ID92"
"338","E01004750",92,"ID92"
"339","E01004751",92,"ID92"
"340","E01002758",161,"ID161"
"341","E01002759",161,"ID161"
"342","E01000656",9,"ID9"
"343","E01000657",9,"ID9"
"344","E01000654",NA,"IDNA"
"345","E01000655",NA,"IDNA"
"346","E01000652",40,"ID40"
"347","E01000653",53,"ID53"
"348","E01000650",40,"ID40"
"349","E01000651",40,"ID40"
"350","E01000658",9,"ID9"
"351","E01000659",8,"ID8"
"352","E01002606",57,"ID57"
"353","E01002687",89,"ID89"
"354","E01002607",57,"ID57"
"355","E01002686",88,"ID88"
"356","E01002604",57,"ID57"
"357","E01002605",57,"ID57"
"358","E01002684",73,"ID73"
"359","E01002602",56,"ID56"
"360","E01002683",72,"ID72"
"361","E01002603",56,"ID56"
"362","E01002682",73,"ID73"
"363","E01004606",60,"ID60"
"364","E01004687",92,"ID92"
"365","E01002600",56,"ID56"
"366","E01002681",73,"ID73"
"367","E01004607",60,"ID60"
"368","E01004686",108,"ID108"
"369","E01002601",56,"ID56"
"370","E01002680",72,"ID72"
"371","E01004604",74,"ID74"
"372","E01004605",74,"ID74"
"373","E01004684",108,"ID108"
"374","E01004602",60,"ID60"
"375","E01004683",108,"ID108"
"376","E01004682",108,"ID108"
"377","E01004600",61,"ID61"
"378","E01004681",108,"ID108"
"379","E01004601",61,"ID61"
"380","E01004680",92,"ID92"
"381","E01002608",43,"ID43"
"382","E01002689",89,"ID89"
"383","E01002609",43,"ID43"
"384","E01004608",60,"ID60"
"385","E01004689",108,"ID108"
"386","E01004609",60,"ID60"
"387","E01004688",92,"ID92"
"388","E01003176",63,"ID63"
"389","E01003177",63,"ID63"
"390","E01003174",63,"ID63"
"391","E01003175",63,"ID63"
"392","E01003172",63,"ID63"
"393","E01003173",63,"ID63"
"394","E01003170",64,"ID64"
"395","E01003171",63,"ID63"
"396","E01003178",63,"ID63"
"397","E01003179",63,"ID63"
"398","E01001116",37,"ID37"
"399","E01001197",105,"ID105"
"400","E01001117",24,"ID24"
"401","E01001196",105,"ID105"
"402","E01001114",37,"ID37"
"403","E01001195",105,"ID105"
"404","E01001115",37,"ID37"
"405","E01001194",38,"ID38"
"406","E01001112",38,"ID38"
"407","E01001193",38,"ID38"
"408","E01001113",37,"ID37"
"409","E01001192",38,"ID38"
"410","E01001110",25,"ID25"
"411","E01001191",38,"ID38"
"412","E01001111",37,"ID37"
"413","E01001190",38,"ID38"
"414","E01001118",25,"ID25"
"415","E01001199",105,"ID105"
"416","E01001119",15,"ID15"
"417","E01001076",16,"ID16"
"418","E01001077",16,"ID16"
"419","E01001074",5,"ID5"
"420","E01001075",6,"ID6"
"421","E01001072",6,"ID6"
"422","E01001073",14,"ID14"
"423","E01001070",5,"ID5"
"424","E01001071",6,"ID6"
"425","E01001078",16,"ID16"
"426","E01001079",16,"ID16"
"427","E01003026",62,"ID62"
"428","E01003027",62,"ID62"
"429","E01003024",63,"ID63"
"430","E01003025",63,"ID63"
"431","E01003022",62,"ID62"
"432","E01003023",63,"ID63"
"433","E01003020",63,"ID63"
"434","E01003021",63,"ID63"
"435","E01003028",62,"ID62"
"436","E01003029",62,"ID62"
"437","E01001326",120,"ID120"
"438","E01001327",119,"ID119"
"439","E01001324",120,"ID120"
"440","E01001325",119,"ID119"
"441","E01001322",120,"ID120"
"442","E01001323",120,"ID120"
"443","E01001320",120,"ID120"
"444","E01001321",120,"ID120"
"445","E01001328",120,"ID120"
"446","E01001329",119,"ID119"
"447","E01003316",65,"ID65"
"448","E01003397",49,"ID49"
"449","E01003317",65,"ID65"
"450","E01003396",48,"ID48"
"451","E01003314",51,"ID51"
"452","E01003395",36,"ID36"
"453","E01003394",36,"ID36"
"454","E01003312",51,"ID51"
"455","E01003393",48,"ID48"
"456","E01003313",51,"ID51"
"457","E01003392",36,"ID36"
"458","E01003310",51,"ID51"
"459","E01003391",36,"ID36"
"460","E01003311",51,"ID51"
"461","E01003390",35,"ID35"
"462","E01003318",65,"ID65"
"463","E01003399",47,"ID47"
"464","E01003319",65,"ID65"
"465","E01003398",48,"ID48"
"466","E01003276",65,"ID65"
"467","E01003274",65,"ID65"
"468","E01003275",65,"ID65"
"469","E01003272",65,"ID65"
"470","E01003273",80,"ID80"
"471","E01003270",66,"ID66"
"472","E01003271",66,"ID66"
"473","E01003278",80,"ID80"
"474","E01003279",65,"ID65"
"475","E01001216",104,"ID104"
"476","E01001297",103,"ID103"
"477","E01001217",104,"ID104"
"478","E01001296",104,"ID104"
"479","E01001214",104,"ID104"
"480","E01001295",103,"ID103"
"481","E01001215",103,"ID103"
"482","E01001294",103,"ID103"
"483","E01001212",121,"ID121"
"484","E01001293",104,"ID104"
"485","E01001213",103,"ID103"
"486","E01001292",104,"ID104"
"487","E01001210",121,"ID121"
"488","E01001291",120,"ID120"
"489","E01001211",105,"ID105"
"490","E01002139",174,"ID174"
"491","E01004138",23,"ID23"
"492","E01004139",23,"ID23"
"493","E01000036",132,"ID132"
"494","E01000037",150,"ID150"
"495","E01000034",149,"ID149"
"496","E01000035",149,"ID149"
"497","E01000032",167,"ID167"
"498","E01000033",149,"ID149"
"499","E01000030",167,"ID167"
"500","E01000031",167,"ID167"
"501","E01000038",149,"ID149"
"502","E01000039",150,"ID150"
"503","E01002346",116,"ID116"
"504","E01002347",116,"ID116"
"505","E01002344",116,"ID116"
"506","E01002345",116,"ID116"
"507","E01002342",116,"ID116"
"508","E01002343",133,"ID133"
"509","E01004346",181,"ID181"
"510","E01002340",168,"ID168"
"511","E01004347",181,"ID181"
"512","E01002341",186,"ID186"
"513","E01004344",182,"ID182"
"514","E01004345",182,"ID182"
"515","E01004342",164,"ID164"
"516","E01004343",182,"ID182"
"517","E01004340",146,"ID146"
"518","E01004341",146,"ID146"
"519","E01002348",133,"ID133"
"520","E01002349",133,"ID133"
"521","E01004348",182,"ID182"
"522","E01004349",196,"ID196"
"523","E01000246",201,"ID201"
"524","E01000247",202,"ID202"
"525","E01000244",159,"ID159"
"526","E01000245",159,"ID159"
"527","E01000242",159,"ID159"
"528","E01000243",159,"ID159"
"529","E01000240",159,"ID159"
"530","E01000241",159,"ID159"
"531","E01000248",201,"ID201"
"532","E01000249",201,"ID201"
"533","E01002236",157,"ID157"
"534","E01002237",138,"ID138"
"535","E01002234",156,"ID156"
"536","E01002235",157,"ID157"
"537","E01002232",174,"ID174"
"538","E01002233",157,"ID157"
"539","E01004236",128,"ID128"
"540","E01002230",174,"ID174"
"541","E01004237",128,"ID128"
"542","E01002231",157,"ID157"
"543","E01004234",128,"ID128"
"544","E01004235",128,"ID128"
"545","E01004232",128,"ID128"
"546","E01004233",128,"ID128"
"547","E01004230",128,"ID128"
"548","E01004231",128,"ID128"
"549","E01002238",138,"ID138"
"550","E01002239",156,"ID156"
"551","E01004238",112,"ID112"
"552","E01004239",112,"ID112"
"553","E01000536",157,"ID157"
"554","E01000534",123,"ID123"
"555","E01001571",98,"ID98"
"556","E01001578",98,"ID98"
"557","E01001579",98,"ID98"
"558","E01003526",130,"ID130"
"559","E01003527",113,"ID113"
"560","E01003524",130,"ID130"
"561","E01003525",113,"ID113"
"562","E01003522",113,"ID113"
"563","E01003523",130,"ID130"
"564","E01003520",130,"ID130"
"565","E01003521",130,"ID130"
"566","E01003528",130,"ID130"
"567","E01003529",130,"ID130"
"568","E01033494",143,"ID143"
"569","E01033493",144,"ID144"
"570","E01033492",143,"ID143"
"571","E01033491",143,"ID143"
"572","E01033490",109,"ID109"
"573","E01000936",110,"ID110"
"574","E01000937",126,"ID126"
"575","E01001305",88,"ID88"
"576","E01001384",88,"ID88"
"577","E01001302",88,"ID88"
"578","E01001383",88,"ID88"
"579","E01001303",88,"ID88"
"580","E01001382",88,"ID88"
"581","E01001300",88,"ID88"
"582","E01001381",89,"ID89"
"583","E01001301",88,"ID88"
"584","E01001380",89,"ID89"
"585","E01001308",121,"ID121"
"586","E01001389",88,"ID88"
"587","E01001309",138,"ID138"
"588","E01001388",105,"ID105"
"589","E01001266",121,"ID121"
"590","E01001267",121,"ID121"
"591","E01001264",120,"ID120"
"592","E01001265",120,"ID120"
"593","E01001262",120,"ID120"
"594","E01001263",120,"ID120"
"595","E01001260",104,"ID104"
"596","E01001261",104,"ID104"
"597","E01001268",120,"ID120"
"598","E01001269",121,"ID121"
"599","E01003256",64,"ID64"
"600","E01003257",64,"ID64"
"601","E01003254",64,"ID64"
"602","E01003255",64,"ID64"
"603","E01003252",95,"ID95"
"604","E01003253",95,"ID95"
"605","E01003250",95,"ID95"
"606","E01003251",95,"ID95"
"607","E01003258",50,"ID50"
"608","E01003259",64,"ID64"
"609","E01033587",130,"ID130"
"610","E01033586",128,"ID128"
"611","E01033585",112,"ID112"
"612","E01033584",112,"ID112"
"613","E01033583",128,"ID128"
"614","E01033582",97,"ID97"
"615","E01033581",113,"ID113"
"616","E01033580",96,"ID96"
"617","E01033589",147,"ID147"
"618","E01033588",114,"ID114"
"619","E01001556",180,"ID180"
"620","E01001557",181,"ID181"
"621","E01001554",180,"ID180"
"622","E01001555",181,"ID181"
"623","E01001552",208,"ID208"
"624","E01001550",204,"ID204"
"625","E01001551",208,"ID208"
"626","E01001558",180,"ID180"
"627","E01003506",96,"ID96"
"628","E01003587",147,"ID147"
"629","E01001559",181,"ID181"
"630","E01003507",113,"ID113"
"631","E01003586",147,"ID147"
"632","E01003585",147,"ID147"
"633","E01003584",147,"ID147"
"634","E01003583",147,"ID147"
"635","E01003503",112,"ID112"
"636","E01003582",147,"ID147"
"637","E01003500",112,"ID112"
"638","E01003581",147,"ID147"
"639","E01003501",112,"ID112"
"640","E01003580",147,"ID147"
"641","E01003508",112,"ID112"
"642","E01003589",129,"ID129"
"643","E01003509",112,"ID112"
"644","E01003588",147,"ID147"
"645","E01033464",140,"ID140"
"646","E01002976",34,"ID34"
"647","E01002977",21,"ID21"
"648","E01002974",46,"ID46"
"649","E01002975",33,"ID33"
"650","E01002972",33,"ID33"
"651","E01002973",33,"ID33"
"652","E01002970",33,"ID33"
"653","E01002971",33,"ID33"
"654","E01002978",34,"ID34"
"655","E01002979",21,"ID21"
"656","E01000916",110,"ID110"
"657","E01000997",37,"ID37"
"658","E01003466",34,"ID34"
"659","E01000917",109,"ID109"
"660","E01000996",37,"ID37"
"661","E01001290",104,"ID104"
"662","E01001299",88,"ID88"
"663","E01001219",104,"ID104"
"664","E01001298",103,"ID103"
"665","E01001576",114,"ID114"
"666","E01001577",98,"ID98"
"667","E01001574",98,"ID98"
"668","E01001575",98,"ID98"
"669","E01001572",98,"ID98"
"670","E01001573",98,"ID98"
"671","E01001570",194,"ID194"
"672","E01001794",145,"ID145"
"673","E01001712",113,"ID113"
"674","E01001793",145,"ID145"
"675","E01001713",96,"ID96"
"676","E01001792",145,"ID145"
"677","E01001710",97,"ID97"
"678","E01001791",145,"ID145"
"679","E01001711",113,"ID113"
"680","E01001790",146,"ID146"
"681","E01001718",162,"ID162"
"682","E01001799",144,"ID144"
"683","E01001719",144,"ID144"
"684","E01001798",163,"ID163"
"685","E01001676",98,"ID98"
"686","E01001677",97,"ID97"
"687","E01001674",98,"ID98"
"688","E01001675",97,"ID97"
"689","E01001672",97,"ID97"
"690","E01001673",97,"ID97"
"691","E01001671",82,"ID82"
"692","E01001678",82,"ID82"
"693","E01001679",81,"ID81"
"694","E01003626",130,"ID130"
"695","E01003627",130,"ID130"
"696","E01003624",130,"ID130"
"697","E01003625",130,"ID130"
"698","E01003623",130,"ID130"
"699","E01003621",130,"ID130"
"700","E01003629",130,"ID130"
"701","E01000146",160,"ID160"
"702","E01000147",159,"ID159"
"703","E01000144",160,"ID160"
"704","E01000145",160,"ID160"
"705","E01000142",141,"ID141"
"706","E01000143",141,"ID141"
"707","E01000140",141,"ID141"
"708","E01000141",141,"ID141"
"709","E01000148",158,"ID158"
"710","E01002136",138,"ID138"
"711","E01002137",138,"ID138"
"712","E01002134",138,"ID138"
"713","E01002135",138,"ID138"
"714","E01002132",138,"ID138"
"715","E01002133",138,"ID138"
"716","E01004136",22,"ID22"
"717","E01002130",157,"ID157"
"718","E01004137",23,"ID23"
"719","E01002131",157,"ID157"
"720","E01004134",22,"ID22"
"721","E01004135",35,"ID35"
"722","E01004132",22,"ID22"
"723","E01004133",22,"ID22"
"724","E01004130",22,"ID22"
"725","E01004131",22,"ID22"
"726","E01002138",138,"ID138"
"727","E01003117",49,"ID49"
"728","E01003195",65,"ID65"
"729","E01003114",49,"ID49"
"730","E01003194",65,"ID65"
"731","E01003115",49,"ID49"
"732","E01003193",51,"ID51"
"733","E01003112",93,"ID93"
"734","E01003192",52,"ID52"
"735","E01003113",49,"ID49"
"736","E01003191",51,"ID51"
"737","E01003110",93,"ID93"
"738","E01003190",51,"ID51"
"739","E01003111",93,"ID93"
"740","E01003199",80,"ID80"
"741","E01003118",49,"ID49"
"742","E01003198",80,"ID80"
"743","E01003119",49,"ID49"
"744","E01003076",78,"ID78"
"745","E01003077",78,"ID78"
"746","E01003074",63,"ID63"
"747","E01003075",78,"ID78"
"748","E01003072",63,"ID63"
"749","E01003073",63,"ID63"
"750","E01003070",50,"ID50"
"751","E01003078",64,"ID64"
"752","E01003079",63,"ID63"
"753","E01001097",14,"ID14"
"754","E01001016",5,"ID5"
"755","E01001096",14,"ID14"
"756","E01001017",5,"ID5"
"757","E01001095",14,"ID14"
"758","E01001014",24,"ID24"
"759","E01001094",13,"ID13"
"760","E01001015",5,"ID5"
"761","E01001093",14,"ID14"
"762","E01001012",25,"ID25"
"763","E01001092",14,"ID14"
"764","E01001013",25,"ID25"
"765","E01001091",37,"ID37"
"766","E01001090",37,"ID37"
"767","E01001011",24,"ID24"
"768","E01001099",14,"ID14"
"769","E01001018",1,"ID1"
"770","E01001098",14,"ID14"
"771","E01001019",5,"ID5"
"772","E01033327",80,"ID80"
"773","E01033324",80,"ID80"
"774","E01033325",80,"ID80"
"775","E01033322",66,"ID66"
"776","E01033320",65,"ID65"
"777","E01001376",89,"ID89"
"778","E01001377",89,"ID89"
"779","E01001374",89,"ID89"
"780","E01001375",89,"ID89"
"781","E01001372",87,"ID87"
"782","E01001373",87,"ID87"
"783","E01001370",86,"ID86"
"784","E01001371",87,"ID87"
"785","E01003326",51,"ID51"
"786","E01001379",89,"ID89"
"787","E01003327",51,"ID51"
"788","E01003324",65,"ID65"
"789","E01003325",65,"ID65"
"790","E01003322",65,"ID65"
"791","E01003323",65,"ID65"
"792","E01003320",65,"ID65"
"793","E01003321",65,"ID65"
"794","E01003328",51,"ID51"
"795","E01003329",51,"ID51"
"796","E01001226",105,"ID105"
"797","E01001227",105,"ID105"
"798","E01001224",105,"ID105"
"799","E01001225",105,"ID105"
"800","E01001222",105,"ID105"
"801","E01001223",105,"ID105"
"802","E01001220",104,"ID104"
"803","E01001221",105,"ID105"
"804","E01001228",105,"ID105"
"805","E01001229",88,"ID88"
"806","E01003216",65,"ID65"
"807","E01003297",95,"ID95"
"808","E01003217",65,"ID65"
"809","E01003296",80,"ID80"
"810","E01003214",65,"ID65"
"811","E01003295",66,"ID66"
"812","E01003215",79,"ID79"
"813","E01003212",79,"ID79"
"814","E01003293",65,"ID65"
"815","E01003213",79,"ID79"
"816","E01003292",65,"ID65"
"817","E01003210",80,"ID80"
"818","E01003291",65,"ID65"
"819","E01003211",80,"ID80"
"820","E01003290",80,"ID80"
"821","E01003218",52,"ID52"
"822","E01003299",79,"ID79"
"823","E01003219",65,"ID65"
"824","E01003298",79,"ID79"
"825","E01033576",112,"ID112"
"826","E01003305",79,"ID79"
"827","E01003384",47,"ID47"
"828","E01003302",79,"ID79"
"829","E01003383",47,"ID47"
"830","E01003303",95,"ID95"
"831","E01003382",34,"ID34"
"832","E01003300",79,"ID79"
"833","E01003381",34,"ID34"
"834","E01003301",79,"ID79"
"835","E01003380",47,"ID47"
"836","E01003308",65,"ID65"
"837","E01003389",36,"ID36"
"838","E01003309",64,"ID64"
"839","E01003388",36,"ID36"
"840","E01003266",66,"ID66"
"841","E01003267",53,"ID53"
"842","E01003264",66,"ID66"
"843","E01003265",66,"ID66"
"844","E01003262",64,"ID64"
"845","E01003263",66,"ID66"
"846","E01003260",64,"ID64"
"847","E01003261",64,"ID64"
"848","E01003268",66,"ID66"
"849","E01003269",66,"ID66"
"850","E01001206",104,"ID104"
"851","E01001287",104,"ID104"
"852","E01001207",105,"ID105"
"853","E01001286",104,"ID104"
"854","E01001204",104,"ID104"
"855","E01001285",104,"ID104"
"856","E01001205",104,"ID104"
"857","E01001202",105,"ID105"
"858","E01001283",104,"ID104"
"859","E01001203",89,"ID89"
"860","E01001282",104,"ID104"
"861","E01001200",105,"ID105"
"862","E01001281",105,"ID105"
"863","E01001201",105,"ID105"
"864","E01001280",105,"ID105"
"865","E01001208",121,"ID121"
"866","E01001289",104,"ID104"
"867","E01001209",121,"ID121"
"868","E01001288",104,"ID104"
"869","E01001566",179,"ID179"
"870","E01001567",194,"ID194"
"871","E01001564",194,"ID194"
"872","E01001565",194,"ID194"
